dist,tsne,gbm,rf
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
SFT,SFT,Meningioma,SFT
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Diffuse Glioma,Ada. Cranio.,Diffuse Glioma,Diffuse Glioma
IDH Mutant,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,Diffuse Glioma,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Diffuse Glioma,Diffuse Glioma,CNS,Diffuse Glioma
MB-SHH,MB-SHH,Diffuse Glioma,MB-SHH
IDH Mutant,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Neuroblastoma,PH/PG,Neuroblastoma,Neuroblastoma
Neuroblastoma,Ganglioneuroma,Neuroblastoma,Ganglioneuroma
Diffuse Glioma,Diffuse Glioma,CNS,PCNSL
Ganglioneuroma,Ganglioneuroma,CNS,Neuroblastoma
MB-GP4,MB-GP3,MB-GP4,MB-GP3
Diffuse Glioma,Diffuse Glioma,Uveal Melanoma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,"Cerebellum, Fetal",Diffuse Glioma
ETMR,AT/RT-MYC,Lung,Lung
Diffuse Glioma,Ganglioneuroma,PFA,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,RELA,Diffuse Glioma
ETMR,AT/RT-MYC,ETMR,ETMR
"Retina, Fetal",MB-GP3,Neuroblastoma,MB-GP3
Diffuse Glioma,Diffuse Glioma,ETMR,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,AT/RT-MYC,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,AT/RT-SHH,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,AT/RT-MYC,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,MB-WNT,MB-WNT
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
